Date,Open,High,Low,Close,Adj Close,Volume
19/08/2004,2.490664005,2.591784954,2.390042067,2.49913311,2.49913311,897427216
20/08/2004,2.515820026,2.716816902,2.503118038,2.697638988,2.697638988,458857488
23/08/2004,2.758410931,2.826406002,2.716069937,2.724786997,2.724786997,366857939
24/08/2004,2.770615101,2.77958107,2.579581022,2.611959934,2.611959934,306396159
25/08/2004,2.614201069,2.689918041,2.58730197,2.640104055,2.640104055,184645512
26/08/2004,2.613951921,2.688672066,2.606729031,2.687675953,2.687675953,142572401
27/08/2004,2.692408085,2.705359936,2.632383108,2.643840075,2.643840075,124826132
30/08/2004,2.622170925,2.627402067,2.5407269,2.5407269,2.5407269,104429967
31/08/2004,2.547950029,2.583067894,2.544462919,2.549693108,2.549693108,98825037
01/09/2004,2.557912111,2.564636946,2.482445002,2.496891022,2.496891022,183633734
02/09/2004,2.470489979,2.549693108,2.464262962,2.528273106,2.528273106,303810504
03/09/2004,2.514326096,2.534002066,2.473727942,2.490912914,2.490912914,103538639
07/09/2004,2.515820026,2.540477991,2.480951071,2.530016899,2.530016899,117506800
08/09/2004,2.509094954,2.566132069,2.503118038,2.547950029,2.547950029,100186120
09/09/2004,2.553678036,2.55816102,2.515571117,2.548198938,2.548198938,81620792
10/09/2004,2.530514956,2.654052019,2.523042917,2.623416901,2.623416901,174804764
13/09/2004,2.655795097,2.700129032,2.651561022,2.677464008,2.677464008,157628624
14/09/2004,2.676218987,2.789544106,2.659780025,2.776842117,2.776842117,217608605
15/09/2004,2.753679037,2.845086098,2.744712114,2.789544106,2.789544106,215279909
16/09/2004,2.798012018,2.88418889,2.780827045,2.838609934,2.838609934,186207345
17/09/2004,2.849817991,2.926281929,2.82814908,2.926281929,2.926281929,190350817
20/09/2004,2.912832022,3.0286479,2.908349037,2.972856998,2.972856998,213585582
21/09/2004,2.984065056,2.999258041,2.926779985,2.934998989,2.934998989,145262446
22/09/2004,2.924040079,2.980577946,2.909344912,2.948447943,2.948447943,152344894
23/09/2004,2.959906101,3.054301977,2.9145751,3.009221077,3.009221077,171524515
24/09/2004,3.012208939,3.090914011,2.982820034,2.984563112,2.984563112,183336625
27/09/2004,2.977838039,3.010715008,2.934003115,2.945460081,2.945460081,141994242
28/09/2004,3.0211761,3.173105955,2.994028091,3.159657001,3.159657001,340190355
29/09/2004,3.155672073,3.362895012,3.14396596,3.264763117,3.264763117,613229953
30/09/2004,3.23537302,3.295149088,3.212956905,3.227900982,3.227900982,276468402
01/10/2004,3.257788897,3.343467951,3.210465908,3.30212307,3.30212307,303934969
04/10/2004,3.368623972,3.408972025,3.338237047,3.363890886,3.363890886,261693228
05/10/2004,3.353929043,3.450316906,3.293654919,3.446331978,3.446331978,300887589
06/10/2004,3.425909042,3.448324919,3.387304068,3.414202929,3.414202929,268900140
07/10/2004,3.410218,3.483941078,3.40100193,3.458287001,3.458287001,283643194
08/10/2004,3.455049992,3.478960037,3.412708044,3.430392027,3.430392027,222442656
11/10/2004,3.412209988,3.458537102,3.333754063,3.368872881,3.368872881,210437827
12/10/2004,3.348448992,3.427402973,3.322546005,3.422173023,3.422173023,234419380
13/10/2004,3.569619894,3.575349092,3.488923073,3.509346008,3.509346008,397203256
14/10/2004,3.512085915,3.546207905,3.451065063,3.536742926,3.536742926,209835578
15/10/2004,3.609719992,3.623917103,3.535497904,3.589296103,3.589296103,265150137
18/10/2004,3.566631079,3.71607089,3.517066956,3.715075016,3.715075016,282061287
19/10/2004,3.748450041,3.795773029,3.669994116,3.684689045,3.684689045,363918964
20/10/2004,3.686929941,3.71084094,3.476967096,3.499134064,3.499134064,456613107
21/10/2004,3.596518993,3.739233971,3.5272789,3.720554113,3.720554113,585767401
22/10/2004,4.247579098,4.487430096,4.086681843,4.294652939,4.294652939,1481207196
