,street_number,street_name,states,formed,removed,length_(mi),length_(km),southern_or_western_terminus,northern_or_eastern_terminus,wiki_link,wiki_id,coordinates_name,icon_name,notes
247,US 400,U.S. Route 400,"['Colorado', 'Kansas', 'Missouri']",1994.0,,477.0,768.0,"US 50/US 385 in Granada, CO","I-44/US 166 southwest of Joplin, MO",https://en.wikipedia.org/wiki/U.S._Route_400,Q410951,u.s._route_400,u.s._route_400,
248,US 401,U.S. Route 401,"['South Carolina', 'North Carolina']",1957.0,,257.0,414.0,"US 76, US 521 in Sumter, SC","I-85, US 1 north of Wise, NC",https://en.wikipedia.org/wiki/U.S._Route_401,Q4297315,u.s._route_401,u.s._route_401,
249,US 401,U.S. Route 401 (1926),"['Tennessee', 'Virginia']",1926.0,1931.0,53.0,85.0,"South Boston, VA","South Hill, VA",https://en.wikipedia.org/wiki/U.S._Route_401_(1926),Q409923,u.s._route_401_(1926),u.s._route_401_(1926),Replaced by US 58
250,US 401,U.S. Route 401 (1930s),"['South Carolina', 'North Carolina']",1932.0,1934.0,272.0,438.0,"Walterboro, SC","Raleigh, NC",https://en.wikipedia.org/wiki/U.S._Route_401_(1930s),Q4297315,u.s._route_401_(1930s),u.s._route_401_(1930s),Replaced by US 15
251,US 410,U.S. Route 410,"['Washington', 'Idaho']",1926.0,1967.0,469.0,755.0,"US 101 in Aberdeen, WA","US 95 in Lewiston, ID",https://en.wikipedia.org/wiki/U.S._Route_410,Q833215,u.s._route_410,u.s._route_410,Largely replaced by US 12; a long section is SR 410
252,US 411,U.S. Route 411,"['Alabama', 'Georgia', 'Tennessee']",1934.0,,314.0,505.0,"US 78 in Leeds, AL","US 25W, US 70 in Newport, TN",https://en.wikipedia.org/wiki/U.S._Route_411,Q4816624,u.s._route_411,u.s._route_411,
253,US 411,U.S. Route 411 (1926),"['Tennessee', 'Virginia']",1926.0,1932.0,110.0,180.0,"Bristol, VA","Cumberland Gap, TN",https://en.wikipedia.org/wiki/U.S._Route_411_(1926),Q409923,u.s._route_411_(1926),u.s._route_411_(1926),Replaced by US 58
254,US 411,U.S. Route 411 (1930s),['North Carolina'],1932.0,1934.0,109.0,175.0,"Madison, NC","Rockingham, NC",https://en.wikipedia.org/wiki/U.S._Route_411_(1930s),Q4817840,u.s._route_411_(1930s),u.s._route_411_(1930s),Replaced by US 220
255,US 412,U.S. Route 412,"['New Mexico', 'Oklahoma', 'Arkansas', 'Missouri', 'Tennessee']",1982.0,,1131.0,1820.0,"I-25 Bus./US 56/NM 21 in Springer, NM","I-65 in Columbia, TN",https://en.wikipedia.org/wiki/U.S._Route_412,Q410975,u.s._route_412,u.s._route_412,
256,US 420,U.S. Route 420,['Wyoming'],1926.0,1933.0,41.0,66.0,"Deaver, WY","Cody, WY",https://en.wikipedia.org/wiki/U.S._Route_420,Q4116179,u.s._route_420,u.s._route_420,"Replaced by US 116, which became part of US 14 just one year later"
257,US 421,U.S. Route 421,"['North Carolina', 'Tennessee', 'Virginia', 'Kentucky', 'Indiana']",1930.0,,941.0,1514.0,"Federal Point Boat Launch in Federal Point, NC","US 20 in Michigan City, IN",https://en.wikipedia.org/wiki/U.S._Route_421,Q4816650,u.s._route_421,u.s._route_421,
258,US 422,U.S. Route 422,"['Ohio', 'Pennsylvania']",1926.0,,273.0,439.0,"US 6, US 20, US 42, US 322 in Cleveland, OHUS 322, PA 39) in Hershey, PA","US 219 in Ebensburg, PAUS 202 in King of Prussia, PA",https://en.wikipedia.org/wiki/U.S._Route_422,Q935679,u.s._route_422,u.s._route_422,
259,US 425,U.S. Route 425,"['Mississippi', 'Louisiana', 'Arkansas']",1989.0,,219.0,352.0,"US 61, US 98 in Natchez, MS","I-530, US 65 in Pine Bluff, AR",https://en.wikipedia.org/wiki/U.S._Route_425,Q410998,u.s._route_425,u.s._route_425,
260,US 430,U.S. Route 430,['Illinois'],1926.0,1934.0,37.0,60.0,"Crystal Lake, IL","Aurora, IL",https://en.wikipedia.org/wiki/U.S._Route_430,Q1068135,u.s._route_430,u.s._route_430,"Intrastate, Illinois only; redesignated IL 31"
261,US 431,U.S. Route 431,"['Alabama', 'Tennessee', 'Kentucky']",1954.0,,556.0,895.0,"US 231 in Dothan, AL","US 60 in Owensboro, KY",https://en.wikipedia.org/wiki/U.S._Route_431,Q4816707,u.s._route_431,u.s._route_431,
262,US 441,U.S. Route 441,"['Florida', 'Georgia', 'North Carolina', 'Tennessee']",1926.0,,936.0,1506.0,"US 27 in Miami, FL","US 25W in Lake City, TN",https://en.wikipedia.org/wiki/U.S._Route_441,Q4816739,u.s._route_441,u.s._route_441,Florida signs the southern end at US 41
263,US 450,U.S. Route 450,"['Arizona', 'New Mexico', 'Colorado', 'Kansas', 'Missouri']",1926.0,1939.0,465.0,748.0,"Walsenburg, CO","Crescent Junction, UT",https://en.wikipedia.org/wiki/U.S._Route_450,Q646437,u.s._route_450,u.s._route_450,Replaced by US 160
264,US 460,U.S. Route 460,"['Kentucky', 'West Virginia', 'Virginia']",1933.0,,655.0,1054.0,"US 60, US 421 in Frankfort, KY","US 60 in Norfolk, VA",https://en.wikipedia.org/wiki/U.S._Route_460,Q985712,u.s._route_460,u.s._route_460,
265,US 466,U.S. Route 466,"['California', 'Nevada', 'Arizona']",1926.0,,53.0,85.0,"Los Lunas, NM","Socorro, NM",https://en.wikipedia.org/wiki/U.S._Route_466,Q798308,u.s._route_466,u.s._route_466,Replaced by US 85; not in revised numbering plan
266,US 466,U.S. Route 466,"['California', 'Nevada', 'Arizona']",1935.0,1971.0,526.0,847.0,"Kingman, AZ","Morro Bay, CA",https://en.wikipedia.org/wiki/U.S._Route_466,Q798308,u.s._route_466,u.s._route_466,
267,US 470,U.S. Route 470,['New Mexico'],1926.0,1931.0,73.0,117.0,"Willard, NM","Albuquerque, NM",https://en.wikipedia.org/wiki/U.S._Route_470,Q25346004,,u.s._route_470,Replaced by US 366
268,US 485,U.S. Route 485,"['Arizona', 'New Mexico', 'Oklahoma', 'Arkansas', 'Tennessee', 'North Carolina']",1926.0,1931.0,164.0,264.0,"Raton, NM","Santa Fe, NM",https://en.wikipedia.org/wiki/U.S._Route_485,Q410000,u.s._route_485,u.s._route_485,Replaced by US 64
269,US 491,U.S. Route 491,"['New Mexico', 'Colorado', 'Utah']",2003.0,,198.0,319.0,"I-40 in Gallup, NM","US 191 in Monticello, UT",https://en.wikipedia.org/wiki/U.S._Route_491,Q452804,u.s._route_491,u.s._route_491,Result of a renumbering of US Route 666
270,US 501,U.S. Route 501,"['South Carolina', 'North Carolina', 'Virginia']",1926.0,,355.0,571.0,"US 17 Bus. in Myrtle Beach, SC","US 60 in Buena Vista, VA",https://en.wikipedia.org/wiki/U.S._Route_501,Q4297359,u.s._route_501,u.s._route_501,
271,US 511,U.S. Route 511,"['Tennessee', 'Virginia']",1926.0,1929.0,284.0,457.0,"Bristol, TN","Strawberry Plains, TN",https://en.wikipedia.org/wiki/U.S._Route_511,Q2400023,u.s._route_511,u.s._route_511,Replaced by US 11E
272,US 521,U.S. Route 521,"['South Carolina', 'North Carolina']",1932.0,,177.0,285.0,"US 17 in Georgetown, SC","I-485 in Charlotte, NC",https://en.wikipedia.org/wiki/U.S._Route_521,Q4297381,u.s._route_521,u.s._route_521,
273,US 522,U.S. Route 522,"['Virginia', 'West Virginia', 'Maryland', 'Pennsylvania']",1926.0,,308.0,496.0,"US 60 northwest of Powhatan, VA","US 11, US 15 in Selinsgrove, PA",https://en.wikipedia.org/wiki/U.S._Route_522,Q4120325,u.s._route_522,u.s._route_522,
274,US 530,U.S. Route 530 in Utah,"['Utah', 'Wyoming']",1926.0,1938.0,25.0,40.0,"Echo, UT","Kimball Junction, UT",https://en.wikipedia.org/wiki/U.S._Route_530_in_Utah,Q2507252,u.s._route_530_in_utah,u.s._route_530_in_utah,Replaced by US 189
275,US 541,U.S. Route 541,,1931.0,1951.0,51.0,82.0,"Chapman, FL","Bradenton, FL",https://en.wikipedia.org/wiki/U.S._Route_541,Q2429888,,u.s._route_541,Replaced by Bus. US 41 and US 41
276,US 550,U.S. Route 550,"['New Mexico', 'Colorado']",1926.0,,302.0,486.0,"I-25, US 85 in Bernalillo, NM","US 50 in Montrose, CO",https://en.wikipedia.org/wiki/U.S._Route_550,Q981620,u.s._route_550,u.s._route_550,
277,US 566,U.S. Route 566,"['New Mexico', 'Texas']",1926.0,1931.0,118.0,190.0,"Hondo, NM","San Antonio, NM",https://en.wikipedia.org/wiki/U.S._Route_566,Q981610,u.s._route_566,u.s._route_566,Replaced by US 380
278,US 601,U.S. Route 601,"['South Carolina', 'North Carolina']",1926.0,,319.0,513.0,"US 321 south of Furman, SC","US 52 in Mount Airy, NC",https://en.wikipedia.org/wiki/U.S._Route_601,Q4297404,u.s._route_601,u.s._route_601,
279,US 611,U.S. Route 611 in Pennsylvania,['Pennsylvania'],1926.0,1972.0,131.0,211.0,"Philadelphia, PA","Scranton, PA",https://en.wikipedia.org/wiki/U.S._Route_611_in_Pennsylvania,Q1498898,u.s._route_611_in_pennsylvania,u.s._route_611_in_pennsylvania,Redesignated PA 611
280,US 622,U.S. Route 622,"['Virginia', 'West Virginia', 'Maryland', 'Pennsylvania']",1926.0,,66.0,106.0,"Mount Union, PA","Hancock, MD",https://en.wikipedia.org/wiki/U.S._Route_622,Q4120325,u.s._route_622,u.s._route_622,Possibly unsigned; replaced by US 522
281,US 630,U.S. Route 630,,1926.0,,37.0,60.0,"Echo, UT","Ogden, UT",https://en.wikipedia.org/wiki/U.S._Route_630,Q2431094,,u.s._route_630,Replaced by I-84; not in revised numbering plan
282,US 630,U.S. Route 630,,1926.0,1933.0,2.0,3.2,"Weiser, ID","Weiser Junction, OR",https://en.wikipedia.org/wiki/U.S._Route_630,Q2431094,,u.s._route_630,Replaced by US 95 Spur
283,US 641,U.S. Route 641,"['Tennessee', 'Kentucky']",1955.0,,165.0,266.0,"US 64 in Clifton Junction, TN","US 60 in Marion, KY",https://en.wikipedia.org/wiki/U.S._Route_641,Q4816747,u.s._route_641,u.s._route_641,
284,US 650,U.S. Route 650,"['Texas', 'New Mexico', 'Colorado']",1926.0,1936.0,27.0,43.0,"Buena Vista, CO","Salida, CO",https://en.wikipedia.org/wiki/U.S._Route_650,Q981591,u.s._route_650,u.s._route_650,Replaced by US 285
285,US 666,U.S. Route 666,"['New Mexico', 'Colorado', 'Utah']",1926.0,2003.0,605.0,974.0,"Monticello, UT","Douglas, AZ",https://en.wikipedia.org/wiki/U.S._Route_666,Q452804,u.s._route_666,u.s._route_666,Replaced by US 491
286,US 701,U.S. Route 701,"['South Carolina', 'North Carolina']",1932.0,,172.0,277.0,"US 17 in Georgetown, SC","I-95, US 301 southwest of Smithfield, NC",https://en.wikipedia.org/wiki/U.S._Route_701,Q4297419,u.s._route_701,u.s._route_701,
287,US 711,U.S. Route 711,"['North Carolina', 'Virginia', 'West Virginia', 'Maryland', 'Pennsylvania']",1926.0,,103.0,166.0,"South Waverly, PA","Northumberland, PA",https://en.wikipedia.org/wiki/U.S._Route_711,Q935367,u.s._route_711,u.s._route_711,Possibly unsigned; replaced by US 220
288,US 730,U.S. Route 730,"['Oregon', 'Washington']",1926.0,,42.0,68.0,"I-84, US 30 east of Boardman, OR","US 12 south of Wallula, WA",https://en.wikipedia.org/wiki/U.S._Route_730,Q833230,u.s._route_730,u.s._route_730,
289,US 789,U.S. Route 789,['Wyoming'],,,,,—,—,https://en.wikipedia.org/wiki/U.S._Route_789,Q2509216,u.s._route_789,u.s._route_789,"Proposed, but never commissioned"
290,US 830,U.S. Route 830,['Washington'],1926.0,1968.0,209.0,336.0,"US 101 northeast of Ilwaco, WA","US 97 north of Maryhill, WA",https://en.wikipedia.org/wiki/U.S._Route_830,Q833241,,u.s._route_830,"Intrastate, Washington only; now SR 14, I-5 (former US 99), SR 432, and SR 4"
