,street_number,street_name,states,formed,removed,length_(mi),length_(km),southern_or_western_terminus,northern_or_eastern_terminus,wiki_link,wiki_id,coordinates_name,icon_name,notes
182,US 220,U.S. Route 220,"['North Carolina', 'Virginia', 'West Virginia', 'Maryland', 'Pennsylvania']",1926.0,,681.0,1096.0,"US 1 in Rockingham, NC","I-86/NY 17 in South Waverly, PA",https://en.wikipedia.org/wiki/U.S._Route_220,Q935367,u.s._route_220,u.s._route_220,
183,US 221,U.S. Route 221,"['Florida', 'Georgia', 'South Carolina', 'North Carolina', 'Virginia']",1930.0,,734.0,1181.0,"US 19, US 27 Alt., US 98 in Perry, FL","US 29 Bus., US 460 Bus., US 501 Bus. in Lynchburg, VA",https://en.wikipedia.org/wiki/U.S._Route_221,Q4816645,u.s._route_221,u.s._route_221,
184,US 222,U.S. Route 222,"['Maryland', 'Pennsylvania']",1926.0,,109.0,175.0,"US 1 in Conowingo, MD","I-78 southwest of Allentown, PA",https://en.wikipedia.org/wiki/U.S._Route_222,Q935431,u.s._route_222,u.s._route_222,
185,US 223,U.S. Route 223,"['Ohio', 'Michigan']",1930.0,,59.0,95.0,"US 23, SR 51/SR 184 in Sylvania, OH","US 127 west of Somerset, MI",https://en.wikipedia.org/wiki/U.S._Route_223,Q2350878,u.s._route_223,u.s._route_223,Ohio does not sign the designation
186,US 224,U.S. Route 224,"['Indiana', 'Ohio', 'Pennsylvania']",1933.0,,287.0,462.0,"US 24 in Huntington, IN","US 422 Business/PA 18 in New Castle, PA",https://en.wikipedia.org/wiki/U.S._Route_224,Q788369,u.s._route_224,u.s._route_224,
187,US 227,U.S. Route 227,['Kentucky'],1928.0,1972.0,120.0,190.0,"Carrollton, KY","Richmond, KY",https://en.wikipedia.org/wiki/U.S._Route_227,Q4816961,u.s._route_227,u.s._route_227,
188,US 230,U.S. Route 230 in Pennsylvania,['Pennsylvania'],1926.0,1966.0,40.0,64.0,"Harrisburg, PA","Lancaster, PA",https://en.wikipedia.org/wiki/U.S._Route_230_in_Pennsylvania,Q1173045,u.s._route_230_in_pennsylvania,u.s._route_230_in_pennsylvania,Redesignated PA 230
189,US 231,U.S. Route 231,"['Florida', 'Alabama', 'Tennessee', 'Kentucky', 'Indiana']",1926.0,,912.0,1468.0,"US 98 Bus. in Panama City, FL","US 41 west of Crown Point, IN",https://en.wikipedia.org/wiki/U.S._Route_231,Q2432498,u.s._route_231,u.s._route_231,
190,US 240,U.S. Route 240,"['District of Columbia', 'Maryland']",1926.0,1971.0,118.0,190.0,"Lemoyne, PA","Arlington, VA",https://en.wikipedia.org/wiki/U.S._Route_240,Q718161,u.s._route_240,u.s._route_240,
191,US 241,U.S. Route 241 (1926),"['Florida', 'Georgia', 'Tennessee', 'Kentucky', 'Indiana', 'Illinois', 'Wisconsin', 'Michigan']",1926.0,1930.0,81.0,130.0,"Hopkinsville, KY","Nashville, TN",https://en.wikipedia.org/wiki/U.S._Route_241_(1926),Q12441,u.s._route_241_(1926),u.s._route_241_(1926),Replaced by US 41
192,US 241,U.S. Route 241 (1930s),"['Alabama', 'Tennessee', 'Kentucky']",1930.0,1954.0,378.0,608.0,"Murfreesboro, TN","Dothan, AL",https://en.wikipedia.org/wiki/U.S._Route_241_(1930s),Q4816707,u.s._route_241_(1930s),u.s._route_241_(1930s),Replaced by US 431
193,US 250,U.S. Route 250,"['Ohio', 'West Virginia', 'Virginia']",1926.0,,391.0,629.0,"Fredericksburg, VA","Lee Hill, VA",https://en.wikipedia.org/wiki/U.S._Route_250,Q1129888,u.s._route_250,u.s._route_250,Replaced by US 50S; not in revised numbering plan
194,US 250,U.S. Route 250,"['Ohio', 'West Virginia', 'Virginia']",1926.0,,514.0,827.0,"US 6 in Sandusky, OH","I-95/US 33/US 60/US 360 in Richmond, VA",https://en.wikipedia.org/wiki/U.S._Route_250,Q1129888,u.s._route_250,u.s._route_250,
195,US 258,U.S. Route 258,"['North Carolina', 'Virginia']",1932.0,,217.0,349.0,"US 17 in Jacksonville, NC","Mellen Street, Ingalls Road, and McNair Drive in Hampton, VA",https://en.wikipedia.org/wiki/U.S._Route_258,Q4816777,u.s._route_258,u.s._route_258,
196,US 259,U.S. Route 259,"['Texas', 'Oklahoma']",1963.0,,250.0,400.0,"US 59 in Nacogdoches, TX","US 59, US 270 near Page, OK",https://en.wikipedia.org/wiki/U.S._Route_259,Q2174983,u.s._route_259,u.s._route_259,
197,US 260,U.S. Route 260,"['Arizona', 'New Mexico', 'Texas']",1931.0,1962.0,298.0,480.0,"Deming, NM","Holbrook, AZ",https://en.wikipedia.org/wiki/U.S._Route_260,Q678208,u.s._route_260,u.s._route_260,Replaced by US 180
198,US 264,U.S. Route 264,['North Carolina'],1932.0,,219.0,352.0,"I-440, US 64 in Raleigh, NC","US 64 southwest of Nags Head, NC",https://en.wikipedia.org/wiki/U.S._Route_264,Q4817888,u.s._route_264,u.s._route_264,"Intrastate, North Carolina only"
199,US 266,U.S. Route 266,['Oklahoma'],1926.0,,43.0,69.0,"US 62, US 75 in Henryetta, OK","US 64 in Warner, OK",https://en.wikipedia.org/wiki/U.S._Route_266,Q2174997,u.s._route_266,u.s._route_266,"Intrastate, Oklahoma only"
200,US 270,U.S. Route 270,"['Kansas', 'Oklahoma', 'Arkansas']",1930.0,,643.0,1035.0,"US 54, US 83 in Liberal, KS","I-530, US 65 northwest of Pine Bluff, AR",https://en.wikipedia.org/wiki/U.S._Route_270,Q2175016,u.s._route_270,u.s._route_270,
201,US 270,U.S. Route 270 (1926),['Tennessee'],1926.0,1929.0,65.0,105.0,"Sparta, TN","Murfreesboro, TN",https://en.wikipedia.org/wiki/U.S._Route_270_(1926),Q4818148,u.s._route_270_(1926),u.s._route_270_(1926),Replaced by US 70S
202,US 271,U.S. Route 271,"['Texas', 'Oklahoma', 'Arkansas']",1926.0,,299.0,481.0,"SH 31/SH 155 in Tyler, TX","US 71 Bus. in Fort Smith, AR",https://en.wikipedia.org/wiki/U.S._Route_271,Q2175033,u.s._route_271,u.s._route_271,
203,US 275,U.S. Route 275,"['Missouri', 'Iowa', 'Nebraska']",1931.0,,266.0,428.0,"US 136 west of Rock Port, MO","US 20, US 281 in O'Neill, NE",https://en.wikipedia.org/wiki/U.S._Route_275,Q2395934,u.s._route_275,u.s._route_275,
204,US 276,U.S. Route 276,"['South Carolina', 'North Carolina']",1932.0,,108.0,174.0,"I-40 north of Waynesville, NC","I-385 in Mauldin, SC",https://en.wikipedia.org/wiki/U.S._Route_276,Q4296907,u.s._route_276,u.s._route_276,
205,US 277,U.S. Route 277,"['Texas', 'Oklahoma']",1928.0,,633.0,1019.0,"US 83 in Carrizo Springs, TX","I-44, US 62 in Newcastle, OK",https://en.wikipedia.org/wiki/U.S._Route_277,Q2175043,u.s._route_277,u.s._route_277,
206,US 278,U.S. Route 278,"['Arkansas', 'Mississippi', 'Alabama', 'Georgia', 'South Carolina']",1952.0,,1077.0,1733.0,"US 59, US 71 in Wickes, AR","Bus. US 278 in Hilton Head Island, SC",https://en.wikipedia.org/wiki/U.S._Route_278,Q2248584,u.s._route_278,u.s._route_278,
207,US 280,U.S. Route 280,"['Alabama', 'Georgia']",1954.0,,392.0,631.0,"I-20, I-59, US 31 in Birmingham, AL","US 80 northwest of Savannah, GA",https://en.wikipedia.org/wiki/U.S._Route_280,Q155520,u.s._route_280,u.s._route_280,
208,US 281,U.S. Route 281,"['Texas', 'Oklahoma', 'Kansas', 'Nebraska', 'South Dakota', 'North Dakota']",1931.0,,1872.0,3013.0,"Bus. US 77, SH 48 in Brownsville, TX","Canadian border north of Dunseith, ND",https://en.wikipedia.org/wiki/U.S._Route_281,Q2175059,u.s._route_281,u.s._route_281,
209,US 283,U.S. Route 283,"['Texas', 'Oklahoma', 'Kansas', 'Nebraska']",1931.0,,730.0,1170.0,"US 87 northwest of Brady, TX","US 30 in Lexington, NE",https://en.wikipedia.org/wiki/U.S._Route_283,Q2175071,u.s._route_283,u.s._route_283,
210,US 285,U.S. Route 285,"['Texas', 'New Mexico', 'Colorado']",1934.0,,835.0,1344.0,"US 90 in Sanderson, TX","I-25, US 87 in Denver, CO",https://en.wikipedia.org/wiki/U.S._Route_285,Q981591,u.s._route_285,u.s._route_285,
